date	plate	well	plasmid	host	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP	flag
02/10	A	H4	218	pho2∆	4952	376243	3640	10169.3	5644.4	15261.9	fail
02/10	A	H6	224	pho2∆	5327	369483	556.5	1068.3	929	1582.7	fail
02/10	A	H7	224	pho2∆	5213	380303	966.5	1219.3	1496.1	1806.8999999999999	fail
02/10	A	H8	224	pho2∆	5267	383027	772.5	1010.3	1163.1	1455.8	fail
02/10	A	H9	NA	PHO2	2053	422385	619.5	459.3	503.3000000000002	537.6999999999999	fail
02/10	A	H10	188	pho2∆	5008	374444.5	772.5	13652.8	1268.5	19994.7	fail
02/10	A	H11	188	pho2∆	4978	377533	922.5	14885.8	1468.9	21650.7	fail
02/10	A	H12	188	pho2∆	4944	371423.5	843.5	14777.3	1408.8000000000002	21661.1	fail
02/11	A	A5	194	PHO2	5277	407869	1360.5	26779.3	1917.4	37513.9	pass
02/11	A	A9	194	PHO2	5271	402241	1373.5	24610.3	1968.5	35111	pass
02/11	A	B9	NA	pho2∆	5259	384535	84.5	838.3	190.60000000000014	1198.1	pass
02/11	A	C1	194	PHO2	5166	424899.5	1800.5	26400.3	2269.1	34940.9	pass
02/11	A	C5	194	PHO2	5242	414870.5	1566.5	23707.3	2034.2000000000003	31902.2	pass
02/11	A	C9	194	PHO2	5316	408502.5	1348.5	23354.3	1802.8000000000002	31252.1	pass
02/11	A	D1	NA	PHO2	5291	383696	83.5	484.3	232.30000000000018	698.1999999999999	pass
02/11	A	E1	194	PHO2	5395	415016	1522.5	24234.3	2074.1	33077.200000000004	pass
02/11	A	E5	194	PHO2	5205	393523	1330.5	24487.3	1953.1	35114.9	pass
02/11	A	E9	194	PHO2	5129	388903	1194.5	23356.3	1760.8000000000002	33203.3	pass
02/11	A	F1	NA	pho2∆	5261	391829	69.5	631.3	158.10000000000014	889.4	pass
02/11	A	F5	NA	PHO2	5224	377309.5	75.5	472.3	205.10000000000014	673	pass
02/11	A	G1	194	PHO2	5258	408189.5	1444.5	22562.3	1968.7000000000003	31404.399999999998	pass
02/11	A	G5	194	PHO2	5103	410807	1530.5	24541.3	2081.9	33016.9	pass
02/11	A	G9	194	PHO2	5023	412735	1354.5	24811.3	1864.1	33712.200000000004	pass
02/11	A	H5	NA	pho2∆	5321	384479	19.5	663.3	123.30000000000018	970.5999999999999	pass
02/11	A	H9	NA	PHO2	5291	375097	64.5	525.3	222.30000000000018	770.8	pass
02/11	A	A1	194	PHO2	5311	428874	1708.5	28373.3	2150.2000000000003	36666	pass
02/11	A	A2	194	PHO84	5330	409142	1421.5	37840.8	2019.4	52639.9	pass
02/11	A	A3	194	PHO84	5431	402290	1205.5	36976.3	1697.1	51867.8	pass
02/11	A	A4	194	PHO84	5241	438889	1843.5	43519.3	2235.3	55157.600000000006	pass
02/11	A	B2	194	pho2∆	5198	398961.5	1389.5	966.3	1904.1	1331.8999999999999	pass
02/11	A	B3	194	pho2∆	5450	401001.5	1469	1385.3	1972.4	1870.1	pass
02/11	A	B4	194	pho2∆	5263	387690	1439.5	1167.3	2069.6	1640.2	pass
02/11	A	C2	188	PHO2	5102	390479	1045.5	18158.8	1551	26299.5	pass
